ID,Question Number,Date,Topic,Tags,Question,Correct Answer,Explanation,Option 1,Option 2,Option 3,Option 4
2139,730,2023-08-31 11:15:35+00:00,Dermatology,#Pediatrics,You examined a 2 day old newborn and found this. This is,Normal,Mongolian blue spots are flat bluish- to bluish-gray skin markings commonly appearing at birth or shortly thereafter. They are benign and are not associated with any conditions or illnesses.,Associated with a disease,Normal,,
2143,731,2023-09-01 12:44:24+00:00,Medicine Practice,#MedicalJurisprudence,"The following are the four elements of medical negligence, except",Distress,"The elements of medical negligence are (1) duty, (2) breach, (3) injury, and (4) proximate causation.",Damage,Dereliction,Direct cause,Distress
2145,732,2023-09-02 09:55:20+00:00,Cardiology,#Physiology,Which is the correct term to use if there is low oxygen level in the tissues?,Hypoxia,Hypoxia is low oxygen levels in the tissues and hypoxemia is low oxygen levels in the blood. Ischemia is insufficient blood flow to provide adequate oxygenation. Infarction is tissue death (necrosis).,Infarction,Ischemia,Hypoxemia,Hypoxia
2147,733,2023-09-02 10:13:57+00:00,Blood,#Biochemistry,"All are affected by warfarin, except",Clotting factor XI,"Warfarin exhibits anticoagulation effects via the intrinsic and extrinsic pathways, effects on vitamin K-dependent clotting factors (II, VII, IX, and X) and anticoagulant proteins C and S.",Clotting factor II,Clotting factor VII,Clotting factor IX,Clotting factor X
2149,734,2023-09-02 10:18:28+00:00,Biomolecules,#Nutrition,You may find fatty liver in a child with,Kwashiorkor,"Edema is the most significant clinical feature of kwashiorkor. The liver in these children is large and fatty, with a considerable decrease in concentration of plasma proteins, especially albumin.",Marasmus,Kwashiorkor,,
2151,735,2023-09-02 10:31:55+00:00,Drugs,#Pharmacology,You prescribed corticosteroids to the patient. You expect that the lab results will show increase in,Neutrophils,"Lymphocyte, monocyte, and basophil counts decrease in response to corticosteroid administration, while neutrophil counts increase. ",Basophils,Eosinophils,Monocytes,Neutrophils
2153,736,2023-09-04 04:27:59+00:00,Measures of Disease Frequency,#Epidemiology,This measure of frequency is defined as the number of deaths in a year of children <1 year of age over the number of live births in the same year,Infant Mortality Rate,"Perinatal Mortality Rate: # of stillbirths & deaths in the 1st week of life per 1,000 live births
Maternal Mortality Rate: # of maternal deaths related to childbirth per # of live births in a year",Perinatal Mortality Rate,Infant Mortality Rate,Maternal Mortality Rate,
2156,737,2023-09-04 04:45:47+00:00,Essential Intrapartum Newborn Care,#Obstetrics,Which of the following is incorrect?,Cord clamping is typically done 4-5 mins after delivery,Proper time for cord clamping is when the umbilical cord stops pulsating. This typically happens around 1-3 mins after delivery.,Immediate and thorough drying is performed to stimulate breathing,Early skin-to-skin contact stimulates MALT system,Cord clamping is typically done 4-5 mins after delivery,Mother and baby must not be separated during the first 90 mins of life
2159,738,2023-09-04 05:50:16+00:00,Lipid Metabolism,#Biochemistry,The small intestine is the primary site of action of all of the following lipases EXCEPT:,Acid-stable lipase,Acid-stable lipase (also known as lingual lipase) is secreted by lingual serous glands and hydrolyzes medium- and long-chain triglycerides in the stomach.,Acid-stable lipase,Pancreatic lipase,Milk lipase,Phospholipase A2
2161,739,2023-09-04 10:28:12+00:00,Clinical Epidemiology,#PublicHealth,You plan to increase your sample size to minimize the effects of,Random error,"The impact of random error, imprecision, can be minimized with large sample sizes.
Bias has a net direction and magnitude so averaging over a large number of observations does not eliminate its effect",Random error,Systematic error,Both,
2163,740,2023-09-04 10:51:23+00:00,Clinical Epidemiology,#PublicHealth,You want to compute the sensitivity of the diagnostic test so you input the values pertaining to,"True positive, False negative","Sensitivity: ability to determine the patient cases correctly. 
Sensitivity=TP/TP+FN
Specificity: ability to determine the healthy cases correctly.  Specificity=TN/TN+FP","True positive, False negative","False positive, True negative",,
2165,741,2023-09-04 10:55:44+00:00,Neurology,#Anatomy,The patient has epidural hematoma. The source of the bleeding is most likely in the,Middle meningeal artery,An epidural hematoma is usually caused by a head injury. A skull fracture occurs in 75% of the cases. A skull fracture that tears the middle meningeal artery is the most common source of bleeding. ,Anterior cerebral artery,Basilar artery,Middle meningeal artery,Middle cerebral artery
2167,742,2023-09-04 11:05:36+00:00,Head and Neck,#Anatomy,You were asked to assist in performing parotidectomy. You told the patient that after the surgery there is a high probability of experiencing,Facial paralysis,Parotidectomy patients can experience temporary or permanent facial paralysis after surgery. The branch of facial nerve most at risk for injury during parotidectomy is the marginal mandibular branch.,Anosmia,Dysphagia,Hearing loss,Facial paralysis
2169,743,2023-09-05 05:02:33+00:00,Immunology,#Physiology,Which of the following is correctly paired?,CD8+ T cell: MHC Class I,"CD8+ (cytotoxic) T cell binds to MHC Class I proteins.
CD4+ (helper) T cell binds to MHC Class II.",CD8+ T cell: MHC Class I,CD8+ T cell: MHC Class III,CD4+ T cell: MHC Class I,CD4+ T cell: MHC Class III
2171,744,2023-09-05 07:20:56+00:00,Prevention,#Epidemiology,All of the following are factors affecting the sensitivity of a diagnostic test EXCEPT,All of the above,All of the following are important factors affecting the sensitivity of diagnostic tests,Study design,Timing of test,Population,Reference standard
2173,745,2023-09-05 09:55:08+00:00,Pharmacodynamics,#Pharmacology,Acetabulol is a,Partial agonist,Acetabulol are weak stimulators of β 2 adrenergic receptors in bronchial airways. They are the preferred beta blockers in px w/ asthma bc of their intrinsic sympathomimetic activity,Competitive antagonist,Non-competitive antagonist,Partial agonist,Inverse agonist
2175,746,2023-09-05 10:22:12+00:00,Proteins,#Biochemistry,Which of the following is classified as a globular protein?,Hemoglobin,"Globular proteins are tightly folded, compact spherical, water-soluble proteins that typically serve transport functions in the body. The rest are types of fibrous proteins.",Collagen,Keratin,Hemoglobin,Myosin
2179,747,2023-09-05 10:54:05+00:00,Endocrinology,#Physiology,Excess hormones are released in what part of the adrenal gland that causes hypertension in Cushing’s syndrome?,Adrenal cortex,Cushing’s syndrome occurs when the body makes too much cortisol. Cortisol is produced in the zona fasciculata of the adrenal cortex.,Adrenal medulla,Adrenal cortex,Adrenal richards,
2182,748,2023-09-05 11:03:25+00:00,Dermatology,#Anatomy,This is,Patch,"A patch is a large spot that is not palpable & that is > 1 cm. 
A patch arises de novo or through coalescence of macules.",Macule,Patch,Papule,Plaque
2185,749,2023-09-05 11:11:31+00:00,Dermatology,#Anatomy,The secondary lesion you see here is,Crusting,"Scales are flaky, dry, and usually whitish. In contrast, crusts are more often moist and yellowish or brown. Impetigo heals, a crusty, yellow or “honey-colored” scab forms over the sore.",Atrophy,Crusting,Lichenification,Scales
2189,750,2023-09-05 11:32:51+00:00,Clinical Epidemiology,#PublicHealth,"Consider the following research. 
The disease starts in 1985, diagnosed in 1992 and the person dies of that disease in 1995. 
The disease starts in 1985, detected by the screening program in 1989, person dies of the disease in 1995. This is an example of",Lead time bias,"Lead time - systematic error of apparent increased survival from detecting disease in an early stage
Length time - systematic error from detecting disease with a long latency or pre-clinical period",Lead time bias,Length time bias,Compliance bias,
2202,751,2023-09-06 02:20:32+00:00,Micronutrients,"#Nutrition, #Biochemistry",Deficiency of this micronutrient is associated with skin irritation and rashes:,Niacin,"Niacin (vitamin B3) deficiency results in a condition known as pellagra. Pellagra includes the triad of dermatitis, dementia, and diarrhea and can result in death.",Manganese,Niacin,Thiamine,Pyridoxine
2205,752,2023-09-06 07:40:02+00:00,Nucleotides,#Biochemistry,Which of the following is involved in the reduction of ribonucleotides to deoxyribonucleotides?,All of the above,"Ribonucleotide reductase: catalyzes converstion of ribonucleotides  at the diphosphate level
Thioredoxin: regenerates ribonucleotide reductase
Thioredoxin reductase: regenerates thioredoxin",Thioredoxin reductase,Thioredoxin,Ribonucleotide reductase,All of the above
2208,753,2023-09-06 08:48:29+00:00,Feeding,#Nutrition,"You are assigned to monitor the nutrition status of a patient with multiple sclerosis, who has impaired swallowing reflex. He still has intact gastroinstestinal function. Which type of feeding do you recommend?",Enteral nutrition,"Healthcare professionals commonly use enteral feeding in patients with dysphagia. For enteral feeding to be successful, the GI tract should be accessible and functional.",Oral nutrition,Enteral nutrition,Parenteral nutrition,
2210,754,2023-09-06 08:58:22+00:00,Malnutrition,#Nutrition,You are using the GLIM guidelines in diagnosing malnutrition. Who is the malnourished patient?,Lilo - low BMI and low food intake,"Phenotypic: weight loss, low BMI, low muscle mass. Etiologic: low food intake & presence of disease w/ inflammation. Diagnosis confirmed by combination of 1 phenotypic & 1 etiologic criterion.",Lila - low BMI and weight loss for the past 2 weeks,Lilo - low BMI and low food intake,"Lola - low food intake, has hypertension",Stitch - low muscle mass and weight loss for the past 2 months
2212,755,2023-09-06 09:10:17+00:00,Malnutrition,#Nutrition,You think that the chance of refeeding syndrome in the patient is very high so you immediately provide,"50% of the energy requirement, continuous drip",The NICE guidelines recommend that refeeding is started at no more than 50% of energy requirements in “patients who have eaten little or nothing for more than 5 days.”,"50% of the energy requirement, bolus feeding","50% of the energy requirement, continuous drip","80% of the energy requirement, bolus feeding","80% of the energy requirement, continuous drip"
2214,756,2023-09-06 10:25:47+00:00,Cells,#Biochemistry,Macrophages phagocytose bacteria and kill them using enzymes from,Lysosome,"For macrophages and dendritic cells, the lysosome is kingpin, playing a direct role in microbe killing and antigen processing for presentation.",Golgi apparatus,Lysosome,Nucleus,Peroxisome
2217,757,2023-09-06 10:42:14+00:00,Dermatology,"#Anatomy, #Pathology",You describe this as,Target,"Target lesions typically occur in erythema multiforme. Target lesions are presenting as three concentric zones.Targetoid lesions are target-like in appearance, with usually two concentric zones.",Annular,Target,Targetoid,
